PUTRA,DEWASA,B,ALI HASIM MUHAMAD NUR ,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,B,SYARIFUDDIN NIZAR,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,B,ARNOLDOUS BORA LAKI SINA,UNITRI
PUTRA,DEWASA,B,LUKAS WALU,UNITRI
PUTRI,DEWASA,B,DAMARIS KABA BILI,UNITRI
PUTRI,DEWASA,B,MAGDALENA FEBIAMA METE,UNITRI
PUTRA,DEWASA,B,M FERDIANSYAH,TAJINAN
PUTRI,DEWASA,B,DINDA DEWI SETYAWATI,RANTING BLIMBING
PUTRA,DEWASA,B,UMBU ERIEN MANAMBA LUNDUNG,UNMER
PUTRA,DEWASA,C,MAYONGGA AL GHALIB SHOLIKAN,PAKISAJI
PUTRA,DEWASA,C,MUHAMMAD RISKY ROMADHON,PAKISAJI
PUTRA,DEWASA,C,ERIKSANDO U. K. MERANG,KOMISARIAT ITN
PUTRA,DEWASA,C,GILANG TRI PAMUNGKAS ,KOMISARIAT POLBANGTAN MALANG
PUTRA,DEWASA,C,MOCH DEZTA NABIH ARKAAN,KOMISARIAT PSHT UB
PUTRA,DEWASA,C,MUHAMAD NURFATWA RAMADHANI,KOMISARIAT PSHT UMM
PUTRI,DEWASA,C,KEN AYU DEWI SAUJANA,LAWANG 
PUTRA,DEWASA,C,FADHIL MAULA ABDALLAH,LOWOKWARU
PUTRA,DEWASA,C,M. AJI PANGESTU SOEKOTJO PUTRA,LOWOKWARU
PUTRA,DEWASA,C,AQILAL JHONATAN ,LOWOKWARU
PUTRA,DEWASA,C,RIYO ADI PRASETYO,RANTING BANTUR
PUTRA,DEWASA,C,ANDIS REDIANSYAH,RANTING BANTUR
PUTRI,DEWASA,C,RENY BUDIATI,RANTING BANTUR
PUTRA,DEWASA,C,MUHAMMAD THATIAN HASTIAVIN,SASANA COBRA YONKES 2
PUTRA,DEWASA,C,FENDY WAHYU RAMADHAN ,SASANA COBRA YONKES 2
PUTRA,DEWASA,C,YUSRIN IHZA MAHENDRA,SDN POLEHAN 2
PUTRA,DEWASA,C,ALVIO FADLY NUR FATHEKHA ,TUREN
PUTRA,DEWASA,C,ZULFIKAR UBAIDILLAH RIKY ,UNIVERSITAS NEGERI MALANG
PUTRA,DEWASA,C,RICO RIYANTO SINGGI UMBA LADO,UNITRI
PUTRA,DEWASA,C,ALFONSUS DENDO,UNITRI
PUTRA,DEWASA,C,YOGA AGUNG PRATAMA,SASANA COBRA YONKES 2
PUTRA,DEWASA,C,CAHYA AFIF SAPUTRA,RANTING BLIMBING
PUTRA,DEWASA,C,SUPRIYADI,UNMER
PUTRA,DEWASA,D,ROHMAD YASIN ,PAKISAJI
PUTRA,DEWASA,D,NATALINO EXPOSTO ,KOMISARIAT POLBANGTAN MALANG 
PUTRA,DEWASA,D,RICKY NARYAMA PRAWIRA,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,D,DHANY WAHYU EKA SAMUDRA ,KOMISARIAT UNIVERSITAS BRAWIJAYA 
PUTRA,DEWASA,D,SAMUEL KAIZE,KOMISARIAT UNIVERSITAS BRAWIJAYA 
PUTRA,DEWASA,D,PAUDRA AKBAR BUANA,LOWOKWARU
PUTRA,DEWASA,D,EVAN PUTRA ADINATA,RANTING BANTUR
PUTRA,DEWASA,D,SATRIA AJISAKA,RANTING SUKUN
PUTRA,DEWASA,D,M.AGUS ALI MAKSUM ,RANTING SUKUN 
PUTRA,DEWASA,D,RIFAN AGI HIDHAYAT,SASANA COBRA YONKES 2
